Total Run Time,600.031,Early Exit, false,,,,,
Number of Particles of Type 1,300,,,,,,,
Number of Particles of Type 2,0,,,,,,,
Number of Particles of Type 3,0,,,,,,,
Number of Particles of Type 4,0,,,,,,,
Number of Updates,,TotalTime,,,,Frame,Frame Time A,Frame Time B
1,,27.031,,,,358,0,0.062
2,,27.078,,,,359,0.016,0.047
2,,27.141,,,,360,0.031,0.063
2,,27.203,,,,361,0,0.062
2,,27.281,,,,362,0,0.078
2,,27.344,,,,363,0.016,0.063
2,,27.406,,,,364,0,0.062
2,,27.469,,,,365,0,0.063
1,,27.531,,,,366,0,0.062
2,,27.578,,,,367,0.015,0.047
2,,27.641,,,,368,0,0.063
2,,27.703,,,,369,0,0.062
1,,27.766,,,,370,0,0.063
2,,27.813,,,,371,0,0.047
2,,27.875,,,,372,0.016,0.062
2,,27.938,,,,373,0,0.063
2,,28,,,,374,0,0.062
2,,28.078,,,,375,0,0.078
2,,28.141,,,,376,0.016,0.063
2,,28.203,,,,377,0,0.062
1,,28.266,,,,378,0,0.063
2,,28.313,,,,379,0,0.047
2,,28.375,,,,380,0,0.062
2,,28.438,,,,381,0.015,0.063
2,,28.516,,,,382,0.032,0.078
2,,28.578,,,,383,0,0.062
2,,28.641,,,,384,0,0.063
2,,28.703,,,,385,0,0.062
1,,28.766,,,,386,0.015,0.063
2,,28.813,,,,387,0,0.047
2,,28.875,,,,388,0,0.062
2,,28.938,,,,389,0,0.063
2,,29,,,,390,0.016,0.062
1,,29.063,,,,391,0,0.063
2,,29.109,,,,392,0,0.046
2,,29.172,,,,393,0,0.063
2,,29.234,,,,394,0,0.062
1,,29.297,,,,395,0.015,0.063
1,,29.328,,,,396,0,0.031
2,,29.375,,,,397,0,0.047
2,,29.438,,,,398,0,0.063
2,,29.5,,,,399,0,0.062
2,,29.578,,,,400,0.016,0.078
2,,29.641,,,,401,0.031,0.063
2,,29.719,,,,402,0,0.078
2,,29.781,,,,403,0,0.062
2,,29.844,,,,404,0.016,0.063
2,,29.906,,,,405,0,0.062
2,,29.984,,,,406,0,0.078
2,,30.047,,,,407,0,0.063
2,,30.109,,,,408,0,0.062
2,,30.188,,,,409,0.016,0.079
2,,30.25,,,,410,0,0.062
2,,30.313,,,,411,0,0.063
2,,30.375,,,,412,0,0.062
2,,30.438,,,,413,0.015,0.063
2,,30.5,,,,414,0,0.062
2,,30.578,,,,415,0,0.078
2,,30.641,,,,416,0,0.063
2,,30.703,,,,417,0,0.062
1,,30.766,,,,418,0.016,0.063
1,,30.797,,,,419,0.031,0.031
2,,30.844,,,,420,0,0.047
2,,30.906,,,,421,0,0.062
2,,30.969,,,,422,0,0.063
1,,31.031,,,,423,0.016,0.062
1,,31.063,,,,424,0,0.032
1,,31.094,,,,425,0,0.031
2,,31.141,,,,426,0,0.047
2,,31.203,,,,427,0.015,0.062
1,,31.266,,,,428,0,0.063
1,,31.297,,,,429,0,0.031
1,,31.328,,,,430,0,0.031
1,,31.359,,,,431,0,0.031
2,,31.406,,,,432,0.016,0.047
2,,31.469,,,,433,0,0.063
1,,31.531,,,,434,0,0.062
1,,31.563,,,,435,0,0.032
1,,31.594,,,,436,0.016,0.031
2,,31.641,,,,437,0,0.047
2,,31.703,,,,438,0,0.062
1,,31.766,,,,439,0,0.063
1,,31.797,,,,440,0,0.031
2,,31.844,,,,441,0.015,0.047
2,,31.906,,,,442,0.031,0.062
2,,31.969,,,,443,0,0.063
1,,32.031,,,,444,0,0.062
1,,32.063,,,,445,0,0.032
1,,32.094,,,,446,0.016,0.031
2,,32.141,,,,447,0,0.047
2,,32.203,,,,448,0,0.062
1,,32.266,,,,449,0,0.063
1,,32.297,,,,450,0.016,0.031
2,,32.344,,,,451,0,0.047
2,,32.406,,,,452,0,0.062
2,,32.469,,,,453,0,0.063
1,,32.531,,,,454,0,0.062
1,,32.563,,,,455,0.015,0.032
1,,32.594,,,,456,0,0.031
1,,32.625,,,,457,0,0.031
2,,32.672,,,,458,0,0.047
2,,32.734,,,,459,0.016,0.062
1,,32.797,,,,460,0.031,0.063
2,,32.844,,,,461,0,0.047
2,,32.906,,,,462,0,0.062
2,,32.984,,,,463,0.016,0.078
2,,33.047,,,,464,0,0.063
2,,33.109,,,,465,0,0.062
2,,33.172,,,,466,0,0.063
2,,33.234,,,,467,0,0.062
1,,33.297,,,,468,0.015,0.063
2,,33.344,,,,469,0,0.047
2,,33.406,,,,470,0,0.062
2,,33.469,,,,471,0,0.063
1,,33.531,,,,472,0.016,0.062
1,,33.563,,,,473,0,0.032
1,,33.594,,,,474,0,0.031
2,,33.641,,,,475,0,0.047
2,,33.703,,,,476,0,0.062
1,,33.766,,,,477,0.016,0.063
1,,33.797,,,,478,0,0.031
2,,33.844,,,,479,0,0.047
2,,33.906,,,,480,0,0.062
2,,33.969,,,,481,0.015,0.063
1,,34.031,,,,482,0.032,0.062
2,,34.078,,,,483,0,0.047
2,,34.141,,,,484,0,0.063
2,,34.203,,,,485,0,0.062
1,,34.266,,,,486,0.015,0.063
1,,34.297,,,,487,0,0.031
2,,34.344,,,,488,0,0.047
2,,34.406,,,,489,0,0.062
2,,34.469,,,,490,0,0.063
2,,34.547,,,,491,0.016,0.078
2,,34.609,,,,492,0,0.062
2,,34.672,,,,493,0,0.063
2,,34.75,,,,494,0,0.078
2,,34.813,,,,495,0.015,0.063
2,,34.875,,,,496,0,0.062
2,,34.938,,,,497,0,0.063
2,,35.016,,,,498,0,0.078
2,,35.078,,,,499,0,0.062
2,,35.141,,,,500,0.016,0.063
2,,35.203,,,,501,0.031,0.062
1,,35.266,,,,502,0,0.063
2,,35.313,,,,503,0,0.047
2,,35.375,,,,504,0,0.062
2,,35.438,,,,505,0.016,0.063
2,,35.5,,,,506,0,0.062
1,,35.563,,,,507,0,0.063
2,,35.609,,,,508,0,0.046
2,,35.672,,,,509,0,0.063
2,,35.734,,,,510,0.016,0.062
1,,35.797,,,,511,0,0.063
1,,35.828,,,,512,0,0.031
2,,35.875,,,,513,0,0.047
2,,35.938,,,,514,0.015,0.063
2,,36,,,,515,0,0.062
1,,36.063,,,,516,0,0.063
1,,36.094,,,,517,0,0.031
2,,36.141,,,,518,0.016,0.047
2,,36.203,,,,519,0.031,0.062
1,,36.266,,,,520,0,0.063
1,,36.297,,,,521,0,0.031
2,,36.344,,,,522,0,0.047
2,,36.406,,,,523,0.016,0.062
2,,36.469,,,,524,0,0.063
1,,36.531,,,,525,0,0.062
2,,36.578,,,,526,0,0.047
2,,36.641,,,,527,0,0.063
2,,36.703,,,,528,0.015,0.062
1,,36.766,,,,529,0,0.063
2,,36.813,,,,530,0,0.047
2,,36.875,,,,531,0,0.062
2,,36.938,,,,532,0.016,0.063
2,,37,,,,533,0,0.062
1,,37.063,,,,534,0,0.063
1,,37.094,,,,535,0,0.031
2,,37.141,,,,536,0,0.047
2,,37.203,,,,537,0.016,0.062
1,,37.266,,,,538,0,0.063
2,,37.313,,,,539,0,0.047
2,,37.375,,,,540,0,0.062
2,,37.438,,,,541,0.015,0.063
2,,37.5,,,,542,0.031,0.062
2,,37.578,,,,543,0,0.078
2,,37.641,,,,544,0,0.063
2,,37.703,,,,545,0.016,0.062
1,,37.766,,,,546,0,0.063
1,,37.797,,,,547,0,0.031
2,,37.844,,,,548,0,0.047
2,,37.906,,,,549,0,0.062
2,,37.969,,,,550,0.016,0.063
1,,38.031,,,,551,0,0.062
2,,38.078,,,,552,0,0.047
2,,38.141,,,,553,0,0.063
2,,38.219,,,,554,0.015,0.078
2,,38.281,,,,555,0,0.062
2,,38.344,,,,556,0,0.063
2,,38.406,,,,557,0,0.062
2,,38.484,,,,558,0.016,0.078
2,,38.547,,,,559,0.031,0.063
2,,38.609,,,,560,0.016,0.062
2,,38.672,,,,561,0,0.063
2,,38.75,,,,562,0,0.078
2,,38.813,,,,563,0,0.063
2,,38.875,,,,564,0,0.062
2,,38.938,,,,565,0.015,0.063
2,,39,,,,566,0,0.062
1,,39.063,,,,567,0,0.063
2,,39.109,,,,568,0,0.046
2,,39.172,,,,569,0.016,0.063
2,,39.234,,,,570,0,0.062
1,,39.297,,,,571,0,0.063
2,,39.344,,,,572,0,0.047
2,,39.406,,,,573,0,0.062
2,,39.469,,,,574,0.016,0.063
1,,39.531,,,,575,0,0.062
1,,39.563,,,,576,0,0.032
1,,39.594,,,,577,0,0.031
2,,39.641,,,,578,0,0.047
2,,39.703,,,,579,0.015,0.062
2,,39.781,,,,580,0.032,0.078
2,,39.844,,,,581,0,0.063
2,,39.922,,,,582,0,0.078
2,,39.984,,,,583,0.015,0.062
2,,40.047,,,,584,0,0.063
2,,40.109,,,,585,0,0.062
2,,40.172,,,,586,0,0.063
2,,40.234,,,,587,0,0.062
2,,40.313,,,,588,0.016,0.079
2,,40.375,,,,589,0,0.062
2,,40.438,,,,590,0,0.063
2,,40.5,,,,591,0,0.062
1,,40.563,,,,592,0,0.063
2,,40.609,,,,593,0.015,0.046
2,,40.672,,,,594,0,0.063
2,,40.734,,,,595,0,0.062
1,,40.797,,,,596,0,0.063
1,,40.828,,,,597,0.016,0.031
2,,40.875,,,,598,0.031,0.047
2,,40.938,,,,599,0,0.063
2,,41,,,,600,0,0.062
1,,41.063,,,,601,0.016,0.063
1,,41.094,,,,602,0,0.031
1,,41.125,,,,603,0,0.031
2,,41.172,,,,604,0,0.047
2,,41.234,,,,605,0,0.062
1,,41.297,,,,606,0.016,0.063
1,,41.328,,,,607,0,0.031
1,,41.359,,,,608,0,0.031
1,,41.391,,,,609,0,0.032
2,,41.438,,,,610,0.015,0.047
2,,41.5,,,,611,0,0.062
1,,41.563,,,,612,0,0.063
1,,41.594,,,,613,0,0.031
1,,41.625,,,,614,0,0.031
2,,41.672,,,,615,0.016,0.047
2,,41.734,,,,616,0.047,0.062
1,,41.797,,,,617,0,0.063
1,,41.828,,,,618,0,0.031
1,,41.859,,,,619,0,0.031
1,,41.891,,,,620,0,0.032
2,,41.938,,,,621,0.015,0.047
2,,42,,,,622,0,0.062
1,,42.063,,,,623,0,0.063
1,,42.094,,,,624,0,0.031
1,,42.125,,,,625,0.016,0.031
1,,42.156,,,,626,0,0.031
2,,42.203,,,,627,0,0.047
1,,42.266,,,,628,0,0.063
1,,42.297,,,,629,0.016,0.031
1,,42.328,,,,630,0,0.031
1,,42.359,,,,631,0,0.031
1,,42.391,,,,632,0,0.032
2,,42.438,,,,633,0,0.047
2,,42.5,,,,634,0.015,0.062
1,,42.563,,,,635,0.031,0.063
1,,42.594,,,,636,0,0.031
1,,42.625,,,,637,0,0.031
2,,42.672,,,,638,0,0.047
2,,42.734,,,,639,0.016,0.062
1,,42.797,,,,640,0,0.063
2,,42.844,,,,641,0,0.047
2,,42.906,,,,642,0,0.062
2,,42.984,,,,643,0.016,0.078
2,,43.047,,,,644,0,0.063
2,,43.109,,,,645,0,0.062
2,,43.172,,,,646,0,0.063
