Number of Particles of Type 1,50
Number of Particles of Type 2,50
Number of Particles of Type 3,50
Number of Particles of Type 4,50
Number of Updates,Frame Time,TotalTime,
0,0,6.157,
1,0.015,6.172,
0,0.016,6.188,
0,0,6.188,
0,0,6.188,
1,0.015,6.203,
1,0.032,6.235,
0,0.015,6.25,
0,0,6.25,
0,0,6.25,
0,0.016,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
1,0.016,6.282,
0,0.015,6.297,
0,0,6.297,
0,0,6.297,
0,0,6.297,
0,0,6.297,
1,0.016,6.313,
0,0.015,6.328,
0,0,6.328,
0,0,6.328,
0,0,6.328,
1,0.016,6.344,
0,0.016,6.36,
0,0,6.36,
0,0,6.36,
0,0,6.36,
1,0.015,6.375,
0,0.016,6.391,
0,0,6.391,
0,0,6.391,
0,0,6.391,
1,0.016,6.407,
0,0.015,6.422,
0,0,6.422,
0,0,6.422,
1,0.016,6.438,
0,0.015,6.453,
0,0,6.453,
0,0,6.453,
1,0.016,6.469,
0,0.016,6.485,
0,0,6.485,
0,0,6.485,
0,0,6.485,
0,0,6.485,
1,0.015,6.5,
0,0.016,6.516,
0,0,6.516,
0,0,6.516,
0,0.016,6.532,
0,0,6.532,
0,0,6.532,
0,0,6.532,
0,0,6.532,
0,0,6.532,
1,0.015,6.547,
0,0.016,6.563,
0,0,6.563,
0,0,6.563,
0,0,6.563,
1,0.015,6.578,
0,0.016,6.594,
0,0,6.594,
0,0,6.594,
0,0,6.594,
1,0.016,6.61,
0,0.015,6.625,
0,0,6.625,
0,0,6.625,
0,0,6.625,
1,0.016,6.641,
0,0.016,6.657,
0,0,6.657,
0,0,6.657,
0,0,6.657,
1,0.015,6.672,
0,0.016,6.688,
0,0,6.688,
0,0,6.688,
0,0,6.688,
0,0,6.688,
1,0.015,6.703,
0,0.016,6.719,
0,0,6.719,
0,0,6.719,
0,0,6.719,
0,0,6.719,
1,0.016,6.735,
0,0.015,6.75,
0,0,6.75,
0,0,6.75,
0,0,6.75,
0,0.016,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
1,0.016,6.782,
0,0.015,6.797,
1,0.016,6.813,
0,0.015,6.828,
0,0,6.828,
0,0,6.828,
1,0.016,6.844,
0,0.016,6.86,
0,0,6.86,
0,0,6.86,
0,0,6.86,
1,0.015,6.875,
1,0.032,6.907,
0,0.015,6.922,
1,0.016,6.938,
1,0.031,6.969,
0,0.016,6.985,
1,0.015,7,
0,0.016,7.016,
0,0.016,7.032,
0,0,7.032,
0,0,7.032,
0,0,7.032,
0,0,7.032,
1,0.015,7.047,
0,0.016,7.063,
0,0,7.063,
0,0,7.063,
0,0,7.063,
0,0,7.063,
1,0.015,7.078,
0,0.016,7.094,
0,0,7.094,
0,0,7.094,
0,0,7.094,
0,0,7.094,
1,0.016,7.11,
0,0.015,7.125,
0,0,7.125,
0,0,7.125,
0,0,7.125,
0,0,7.125,
1,0.016,7.141,
0,0.016,7.157,
0,0,7.157,
0,0,7.157,
0,0,7.157,
0,0,7.157,
1,0.015,7.172,
0,0.016,7.188,
0,0,7.188,
0,0,7.188,
0,0,7.188,
1,0.015,7.203,
0,0.016,7.219,
0,0,7.219,
0,0,7.219,
0,0,7.219,
1,0.016,7.235,
0,0.015,7.25,
0,0,7.25,
0,0,7.25,
0,0,7.25,
0,0,7.25,
0,0.016,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
1,0.016,7.282,
0,0.015,7.297,
0,0,7.297,
0,0,7.297,
0,0,7.297,
0,0,7.297,
0,0,7.297,
1,0.016,7.313,
0,0.015,7.328,
0,0,7.328,
0,0,7.328,
0,0,7.328,
1,0.016,7.344,
0,0.016,7.36,
0,0,7.36,
0,0,7.36,
0,0,7.36,
0,0,7.36,
1,0.015,7.375,
0,0.016,7.391,
0,0,7.391,
0,0,7.391,
0,0,7.391,
0,0,7.391,
0,0,7.391,
1,0.016,7.407,
0,0.015,7.422,
0,0,7.422,
0,0,7.422,
0,0,7.422,
1,0.016,7.438,
0,0.015,7.453,
0,0,7.453,
0,0,7.453,
0,0,7.453,
1,0.016,7.469,
0,0.016,7.485,
0,0,7.485,
0,0,7.485,
0,0,7.485,
0,0,7.485,
1,0.015,7.5,
0,0.016,7.516,
0,0,7.516,
0,0,7.516,
0,0,7.516,
0,0.016,7.532,
0,0,7.532,
0,0,7.532,
0,0,7.532,
0,0,7.532,
0,0,7.532,
1,0.015,7.547,
0,0.016,7.563,
0,0,7.563,
0,0,7.563,
0,0,7.563,
0,0,7.563,
1,0.015,7.578,
0,0.016,7.594,
0,0,7.594,
0,0,7.594,
0,0,7.594,
0,0,7.594,
1,0.016,7.61,
0,0.015,7.625,
0,0,7.625,
0,0,7.625,
0,0,7.625,
1,0.016,7.641,
0,0.016,7.657,
0,0,7.657,
0,0,7.657,
0,0,7.657,
1,0.015,7.672,
0,0.016,7.688,
0,0,7.688,
0,0,7.688,
0,0,7.688,
1,0.015,7.703,
0,0.016,7.719,
0,0,7.719,
0,0,7.719,
1,0.016,7.735,
0,0.015,7.75,
0,0,7.75,
0,0,7.75,
0,0,7.75,
0,0.016,7.766,
0,0,7.766,
0,0,7.766,
0,0,7.766,
0,0,7.766,
0,0,7.766,
0,0,7.766,
1,0.016,7.782,
0,0.015,7.797,
0,0,7.797,
0,0,7.797,
0,0,7.797,
0,0,7.797,
1,0.016,7.813,
0,0.015,7.828,
0,0,7.828,
0,0,7.828,
0,0,7.828,
1,0.016,7.844,
0,0.016,7.86,
0,0,7.86,
0,0,7.86,
0,0,7.86,
0,0,7.86,
1,0.015,7.875,
0,0.016,7.891,
0,0,7.891,
0,0,7.891,
0,0,7.891,
0,0,7.891,
1,0.016,7.907,
0,0.015,7.922,
0,0,7.922,
0,0,7.922,
0,0,7.922,
0,0,7.922,
1,0.016,7.938,
0,0.015,7.953,
0,0,7.953,
0,0,7.953,
0,0,7.953,
0,0,7.953,
1,0.016,7.969,
0,0.016,7.985,
0,0,7.985,
0,0,7.985,
0,0,7.985,
0,0,7.985,
1,0.015,8,
0,0.016,8.016,
0,0,8.016,
0,0,8.016,
0,0,8.016,
0,0,8.016,
0,0.016,8.032,
0,0,8.032,
0,0,8.032,
0,0,8.032,
0,0,8.032,
0,0,8.032,
1,0.015,8.047,
0,0.016,8.063,
0,0,8.063,
0,0,8.063,
0,0,8.063,
1,0.015,8.078,
0,0.016,8.094,
0,0,8.094,
0,0,8.094,
0,0,8.094,
0,0,8.094,
1,0.016,8.11,
0,0.015,8.125,
0,0,8.125,
0,0,8.125,
0,0,8.125,
1,0.016,8.141,
0,0.016,8.157,
0,0,8.157,
0,0,8.157,
0,0,8.157,
0,0,8.157,
0,0,8.157,
1,0.015,8.172,
0,0.016,8.188,
0,0,8.188,
0,0,8.188,
0,0,8.188,
0,0,8.188,
